"Task/Step","Task type","Start date","End date","Status","Summary","Logs"
"Reconcile licenses","Reconciliation","4/7/2019 4:30:56 am","4/7/2019 4:30:57 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 4:30:48 am","4/7/2019 4:30:56 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 4:30:55 am","4/7/2019 4:30:56 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 4:01:21 am","4/7/2019 4:02:04 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 4:01:23 am","4/7/2019 4:02:03 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 4:00:40 am","4/7/2019 4:01:15 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 4:00:55 am","4/7/2019 4:01:09 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 3:30:43 am","4/7/2019 3:30:46 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 3:30:44 am","4/7/2019 3:30:46 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 3:30:36 am","4/7/2019 3:30:43 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 3:30:42 am","4/7/2019 3:30:43 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 3:00:41 am","4/7/2019 3:00:42 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 3:00:41 am","4/7/2019 3:00:42 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 3:00:33 am","4/7/2019 3:00:41 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 3:00:39 am","4/7/2019 3:00:40 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 2:30:43 am","4/7/2019 2:30:46 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 2:30:43 am","4/7/2019 2:30:46 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 2:30:35 am","4/7/2019 2:30:43 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 2:30:41 am","4/7/2019 2:30:43 am","Completed","Import completed","Yes"
"FNMPDataWarehouse","Data warehouse export","4/7/2019 2:26:10 am","4/7/2019 2:27:22 am","Completed","Partial export of applications, licenses, installations, assets, discovery, inventory summary completed successfully","No"
"Exporting","Data warehouse export","4/7/2019 2:26:16 am","4/7/2019 2:27:21 am","Completed","Partial export of applications, licenses, installations, assets, discovery, inventory summary completed successfully","Yes"
"FNMPDataWarehouse","Data warehouse export","4/7/2019 2:11:08 am","4/7/2019 2:14:38 am","Completed","Partial export of applications, licenses, installations, assets, discovery, inventory summary completed successfully","No"
"Exporting","Data warehouse export","4/7/2019 2:11:15 am","4/7/2019 2:14:38 am","Completed","Partial export of applications, licenses, installations, assets, discovery, inventory summary completed successfully","Yes"
"Reconciliation","Reconciliation","4/7/2019 2:05:34 am","4/7/2019 8:25:45 am","Completed","License reconcile completed","No"
"Import inventory devices","Reconciliation","4/7/2019 2:05:34 am","4/7/2019 8:06:22 am","Completed","Inventory device import completed for the following sources:
FlexNet Manager Suite","Yes"
"Reconcile licenses","Reconciliation","4/7/2019 8:06:23 am","4/7/2019 8:25:45 am","Completed","License reconcile completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 2:00:41 am","4/7/2019 2:00:43 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 2:00:41 am","4/7/2019 2:00:43 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 2:00:32 am","4/7/2019 2:00:40 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 2:00:39 am","4/7/2019 2:00:40 am","Completed","Import completed","Yes"
"FlexNet Manager Suite","Inventory import","4/7/2019 2:00:07 am","4/7/2019 8:25:45 am","Completed","License reconcile completed","No"
"Import into staging","Inventory import","4/7/2019 2:00:14 am","4/7/2019 2:05:34 am","Completed","Devices read from source: 5621","Yes"
"Import inventory devices","Inventory import","4/7/2019 2:05:34 am","4/7/2019 8:06:22 am","Completed","Devices read from source: 5621
Imported: 5603
Black listed: 0
Merged with other data sources: 47
Number of devices ignored due to license limit: 0","Yes"
"Reconcile software licenses","Inventory import","4/7/2019 8:06:23 am","4/7/2019 8:25:45 am","Completed","License reconcile completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 1:30:37 am","4/7/2019 1:30:41 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 1:30:37 am","4/7/2019 1:30:41 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 1:30:30 am","4/7/2019 1:30:37 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 1:30:36 am","4/7/2019 1:30:37 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 1:00:36 am","4/7/2019 1:00:39 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 1:00:37 am","4/7/2019 1:00:39 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 1:00:27 am","4/7/2019 1:00:36 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 1:00:33 am","4/7/2019 1:00:35 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 12:30:17 am","4/7/2019 12:30:18 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 12:30:17 am","4/7/2019 12:30:18 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 12:30:09 am","4/7/2019 12:30:16 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 12:30:15 am","4/7/2019 12:30:16 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 12:00:19 am","4/7/2019 12:00:22 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 12:00:19 am","4/7/2019 12:00:21 am","Completed","License reconcile completed","Yes"
"SCCM1","Inventory import","4/7/2019 12:00:15 am","4/7/2019 1:42:17 am","Completed","Devices read from source to staging: 70000. Inventory data will be updated by the next reconciliation with inventory updates (Import inventory devices task)","No"
"Gathering inventory data","Inventory import","4/7/2019 12:00:16 am","4/7/2019 12:24:15 am","Completed","Inventory data saved as I[S=SCCM1]_20190407002222.zip
File size: 554.09 MB","Yes"
"Uploading to Application Server","Inventory import","4/7/2019 12:24:16 am","4/7/2019 12:25:06 am","Completed","Uploaded: I[S=SCCM1]_20190407002222.zip successfully
File size: 554.09 MB","No"
"Import into staging","Inventory import","4/7/2019 12:26:21 am","4/7/2019 1:42:17 am","Completed","Devices read from source to staging: 70000. Inventory data will be updated by the next reconciliation with inventory updates (Import inventory devices task)","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 12:00:12 am","4/7/2019 12:00:18 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 12:00:17 am","4/7/2019 12:00:18 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/6/2019 11:30:16 pm","4/6/2019 11:30:17 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/6/2019 11:30:16 pm","4/6/2019 11:30:17 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/6/2019 11:30:09 pm","4/6/2019 11:30:16 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/6/2019 11:30:15 pm","4/6/2019 11:30:16 pm","Completed","Import completed","Yes"
"VMWare Introspection","Discovery and inventory rule","4/6/2019 11:04:14 pm","4/6/2019 11:04:26 pm","In progress","Beacon(s) with schedule pending: 1
Total beacon(s) reported: 1
  Beacon(s) in progress: 0
  Beacon(s) completed: 1
  Beacon(s) completed with error: 0
  Beacon(s) timed out: 0","No"
"vwn04584 - Parent Beacon","Discovery and inventory rule","","","Scheduled","","No"
"uwn2008 - Child Beacon","Discovery and inventory rule","4/6/2019 11:04:14 pm","4/6/2019 11:04:26 pm","Completed","","No"
"Performing discovery","Discovery and inventory rule","4/6/2019 11:04:24 pm","4/6/2019 11:04:24 pm","Completed","Total discovered devices: 0
Oracle database servers discovered: -
Oracle virtual servers discovered: -
VMware virtual servers discovered: 0
Microsoft Hyper-V servers discovered: -
Microsoft SQL servers discovered: -
XenDesktop devices discovered: -","Yes"
"Gathering VMware inventory","Discovery and inventory rule","4/6/2019 11:04:14 pm","4/6/2019 11:04:26 pm","Completed","Devices discovered: 72
Devices skipped: 72
Devices inventoried: 0
Devices failed to be inventoried: 0","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/6/2019 11:00:18 pm","4/6/2019 11:00:19 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/6/2019 11:00:18 pm","4/6/2019 11:00:19 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/6/2019 11:00:11 pm","4/6/2019 11:00:18 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/6/2019 11:00:17 pm","4/6/2019 11:00:18 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/6/2019 10:29:59 pm","4/6/2019 10:30:00 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/6/2019 10:29:59 pm","4/6/2019 10:30:00 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/6/2019 10:29:52 pm","4/6/2019 10:29:58 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/6/2019 10:29:57 pm","4/6/2019 10:29:58 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/6/2019 9:59:56 pm","4/6/2019 9:59:57 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/6/2019 9:59:56 pm","4/6/2019 9:59:57 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/6/2019 9:59:49 pm","4/6/2019 9:59:56 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/6/2019 9:59:55 pm","4/6/2019 9:59:55 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/6/2019 9:29:53 pm","4/6/2019 9:29:55 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/6/2019 9:29:53 pm","4/6/2019 9:29:55 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/6/2019 9:29:46 pm","4/6/2019 9:29:53 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/6/2019 9:29:52 pm","4/6/2019 9:29:53 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/6/2019 8:59:51 pm","4/6/2019 8:59:52 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/6/2019 8:59:51 pm","4/6/2019 8:59:52 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/6/2019 8:59:43 pm","4/6/2019 8:59:50 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/6/2019 8:59:49 pm","4/6/2019 8:59:50 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/6/2019 8:29:53 pm","4/6/2019 8:29:54 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/6/2019 8:29:53 pm","4/6/2019 8:29:54 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/6/2019 8:29:45 pm","4/6/2019 8:29:52 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/6/2019 8:29:51 pm","4/6/2019 8:29:52 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/6/2019 7:59:50 pm","4/6/2019 7:59:51 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/6/2019 7:59:50 pm","4/6/2019 7:59:51 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/6/2019 7:59:43 pm","4/6/2019 7:59:50 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/6/2019 7:59:49 pm","4/6/2019 7:59:49 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/6/2019 7:29:48 pm","4/6/2019 7:29:49 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/6/2019 7:29:48 pm","4/6/2019 7:29:49 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/6/2019 7:29:41 pm","4/6/2019 7:29:48 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/6/2019 7:29:47 pm","4/6/2019 7:29:48 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/6/2019 6:59:51 pm","4/6/2019 6:59:52 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/6/2019 6:59:51 pm","4/6/2019 6:59:52 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/6/2019 6:59:43 pm","4/6/2019 6:59:51 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/6/2019 6:59:49 pm","4/6/2019 6:59:50 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/6/2019 6:29:48 pm","4/6/2019 6:29:49 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/6/2019 6:29:48 pm","4/6/2019 6:29:49 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/6/2019 6:29:41 pm","4/6/2019 6:29:48 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/6/2019 6:29:47 pm","4/6/2019 6:29:48 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/6/2019 5:59:45 pm","4/6/2019 5:59:46 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/6/2019 5:59:45 pm","4/6/2019 5:59:46 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/6/2019 5:59:38 pm","4/6/2019 5:59:45 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/6/2019 5:59:44 pm","4/6/2019 5:59:45 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/6/2019 5:29:42 pm","4/6/2019 5:29:44 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/6/2019 5:29:42 pm","4/6/2019 5:29:44 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/6/2019 5:29:35 pm","4/6/2019 5:29:42 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/6/2019 5:29:41 pm","4/6/2019 5:29:42 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/6/2019 4:59:45 pm","4/6/2019 4:59:46 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/6/2019 4:59:45 pm","4/6/2019 4:59:46 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/6/2019 4:59:37 pm","4/6/2019 4:59:44 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/6/2019 4:59:43 pm","4/6/2019 4:59:44 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/6/2019 4:29:42 pm","4/6/2019 4:29:43 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/6/2019 4:29:42 pm","4/6/2019 4:29:43 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/6/2019 4:29:34 pm","4/6/2019 4:29:41 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/6/2019 4:29:40 pm","4/6/2019 4:29:41 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/6/2019 3:59:39 pm","4/6/2019 3:59:40 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/6/2019 3:59:39 pm","4/6/2019 3:59:40 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/6/2019 3:59:32 pm","4/6/2019 3:59:39 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/6/2019 3:59:38 pm","4/6/2019 3:59:39 pm","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/6/2019 3:29:41 pm","4/6/2019 3:29:42 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/6/2019 3:29:41 pm","4/6/2019 3:29:42 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/6/2019 3:29:34 pm","4/6/2019 3:29:41 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/6/2019 3:29:40 pm","4/6/2019 3:29:41 pm","Completed","Import completed","Yes"
